stage,frame,token,input_cycle,output_cycle,elapsed_cycles
serializer,9,0,167321,167379,58
patch_queue,10,0,153504,154490,986
embedding,10,0,154490,156462,1972
block0,10,0,156462,161397,4935
block1,10,0,161397,164273,2876
patch_queue,10,1,154491,155477,986
embedding,10,1,155477,157449,1972
block0,10,1,157449,162384,4935
block1,10,1,162384,165260,2876
patch_queue,10,2,155478,156464,986
embedding,10,2,156464,158436,1972
block0,10,2,158436,163371,4935
block1,10,2,163371,166247,2876
patch_queue,10,3,156465,157451,986
embedding,10,3,157451,159423,1972
block0,10,3,159423,164358,4935
block1,10,3,164358,167234,2876
patch_queue,10,4,157452,158438,986
embedding,10,4,158438,160410,1972
block0,10,4,160410,165345,4935
block1,10,4,165345,168221,2876
patch_queue,10,5,158439,159425,986
embedding,10,5,159425,161397,1972
block0,10,5,161397,166332,4935
block1,10,5,166332,169208,2876
patch_queue,10,6,159426,160412,986
embedding,10,6,160412,162384,1972
block0,10,6,162384,167319,4935
block1,10,6,167319,170195,2876
patch_queue,10,7,160413,161399,986
embedding,10,7,161399,163371,1972
block0,10,7,163371,168306,4935
block1,10,7,168306,171182,2876
patch_queue,10,8,161400,162386,986
embedding,10,8,162386,164358,1972
block0,10,8,164358,169293,4935
block1,10,8,169293,172169,2876
patch_queue,10,9,162387,163373,986
embedding,10,9,163373,165345,1972
block0,10,9,165345,170280,4935
block1,10,9,170280,173156,2876
patch_queue,10,10,163374,164360,986
embedding,10,10,164360,166332,1972
block0,10,10,166332,171267,4935
block1,10,10,171267,174143,2876
patch_queue,10,11,164361,165347,986
embedding,10,11,165347,167319,1972
block0,10,11,167319,172254,4935
block1,10,11,172254,175130,2876
patch_queue,10,12,165348,166334,986
embedding,10,12,166334,168306,1972
block0,10,12,168306,173241,4935
block1,10,12,173241,176117,2876
patch_queue,10,13,166335,167321,986
embedding,10,13,167321,169293,1972
block0,10,13,169293,174228,4935
block1,10,13,174228,177104,2876
patch_queue,10,14,167322,168308,986
embedding,10,14,168308,170280,1972
