stage,frame,token,input_cycle,output_cycle,elapsed_cycles
embedding,6,8,60245,61423,1178
block0,6,8,61423,64377,2954
block1,6,8,64377,66741,2364
patch_queue,6,9,60246,60835,589
embedding,6,9,60835,62015,1180
block0,6,9,62015,64967,2952
block1,6,9,64967,67331,2364
patch_queue,6,10,60836,61425,589
embedding,6,10,61425,62605,1180
block0,6,10,62605,65557,2952
block1,6,10,65557,67921,2364
patch_queue,6,11,61426,62017,591
embedding,6,11,62017,63195,1178
block0,6,11,63195,66147,2952
block1,6,11,66147,68511,2364
patch_queue,6,12,62018,62607,589
embedding,6,12,62607,63785,1178
block0,6,12,63785,66739,2954
block1,6,12,66739,69103,2364
patch_queue,6,13,62608,63197,589
embedding,6,13,63197,64377,1180
block0,6,13,64377,67329,2952
block1,6,13,67329,69693,2364
patch_queue,6,14,63198,63787,589
embedding,6,14,63787,64967,1180
block0,6,14,64967,67919,2952
block1,6,14,67919,70283,2364
patch_queue,6,15,63788,64379,591
embedding,6,15,64379,65557,1178
block0,6,15,65557,68509,2952
block1,6,15,68509,70873,2364
head_hidden_first_token,6,0,62017,74166,12149
head_hidden_last_token,6,15,70873,74166,3293
head_output,6,0,74166,74908,742
serializer,6,0,74908,74966,58
patch_queue,7,0,64380,64969,589
embedding,7,0,64969,66147,1178
block0,7,0,66147,69101,2954
block1,7,0,69101,71465,2364
patch_queue,7,1,64970,65559,589
embedding,7,1,65559,66739,1180
block0,7,1,66739,69691,2952
block1,7,1,69691,72055,2364
patch_queue,7,2,65560,66149,589
embedding,7,2,66149,67329,1180
block0,7,2,67329,70281,2952
block1,7,2,70281,72645,2364
patch_queue,7,3,66150,66741,591
embedding,7,3,66741,67919,1178
block0,7,3,67919,70871,2952
block1,7,3,70871,73235,2364
patch_queue,7,4,66742,67331,589
embedding,7,4,67331,68509,1178
block0,7,4,68509,71463,2954
block1,7,4,71463,73827,2364
patch_queue,7,5,67332,67921,589
embedding,7,5,67921,69101,1180
block0,7,5,69101,72053,2952
block1,7,5,72053,74417,2364
patch_queue,7,6,67922,68511,589
embedding,7,6,68511,69691,1180
block0,7,6,69691,72643,2952
block1,7,6,72643,75007,2364
patch_queue,7,7,68512,69103,591
embedding,7,7,69103,70281,1178
block0,7,7,70281,73233,2952
block1,7,7,73233,75597,2364
patch_queue,7,8,69104,69693,589
embedding,7,8,69693,70871,1178
block0,7,8,70871,73825,2954
block1,7,8,73825,76189,2364
patch_queue,7,9,69694,70283,589
embedding,7,9,70283,71463,1180
block0,7,9,71463,74415,2952
block1,7,9,74415,76779,2364
patch_queue,7,10,70284,70873,589
embedding,7,10,70873,72053,1180
block0,7,10,72053,75005,2952
block1,7,10,75005,77369,2364
patch_queue,7,11,70874,71465,591
embedding,7,11,71465,72643,1178
block0,7,11,72643,75595,2952
block1,7,11,75595,77959,2364
patch_queue,7,12,71466,72055,589
embedding,7,12,72055,73233,1178
block0,7,12,73233,76187,2954
block1,7,12,76187,78551,2364
patch_queue,7,13,72056,72645,589
embedding,7,13,72645,73825,1180
block0,7,13,73825,76777,2952
block1,7,13,76777,79141,2364
patch_queue,7,14,72646,73235,589
embedding,7,14,73235,74415,1180
block0,7,14,74415,77367,2952
block1,7,14,77367,79731,2364
patch_queue,7,15,73236,73827,591
embedding,7,15,73827,75005,1178
block0,7,15,75005,77957,2952
block1,7,15,77957,80321,2364
head_hidden_first_token,7,0,71465,83614,12149
head_hidden_last_token,7,15,80321,83614,3293
head_output,7,0,83614,84356,742
serializer,7,0,84356,84414,58
patch_queue,8,0,73828,74417,589
embedding,8,0,74417,75595,1178
block0,8,0,75595,78549,2954
block1,8,0,78549,80913,2364
patch_queue,8,1,74418,75007,589
embedding,8,1,75007,76187,1180
block0,8,1,76187,79139,2952
block1,8,1,79139,81503,2364
patch_queue,8,2,75008,75597,589
embedding,8,2,75597,76777,1180
block0,8,2,76777,79729,2952
block1,8,2,79729,82093,2364
patch_queue,8,3,75598,76189,591
embedding,8,3,76189,77367,1178
block0,8,3,77367,80319,2952
block1,8,3,80319,82683,2364
patch_queue,8,4,76190,76779,589
embedding,8,4,76779,77957,1178
block0,8,4,77957,80911,2954
block1,8,4,80911,83275,2364
patch_queue,8,5,76780,77369,589
embedding,8,5,77369,78549,1180
block0,8,5,78549,81501,2952
block1,8,5,81501,83865,2364
patch_queue,8,6,77370,77959,589
embedding,8,6,77959,79139,1180
block0,8,6,79139,82091,2952
block1,8,6,82091,84455,2364
patch_queue,8,7,77960,78551,591
embedding,8,7,78551,79729,1178
block0,8,7,79729,82681,2952
block1,8,7,82681,85045,2364
patch_queue,8,8,78552,79141,589
embedding,8,8,79141,80319,1178
block0,8,8,80319,83273,2954
block1,8,8,83273,85637,2364
patch_queue,8,9,79142,79731,589
embedding,8,9,79731,80911,1180
block0,8,9,80911,83863,2952
block1,8,9,83863,86227,2364
patch_queue,8,10,79732,80321,589
embedding,8,10,80321,81501,1180
block0,8,10,81501,84453,2952
block1,8,10,84453,86817,2364
patch_queue,8,11,80322,80913,591
embedding,8,11,80913,82091,1178
block0,8,11,82091,85043,2952
block1,8,11,85043,87407,2364
patch_queue,8,12,80914,81503,589
embedding,8,12,81503,82681,1178
block0,8,12,82681,85635,2954
block1,8,12,85635,87999,2364
patch_queue,8,13,81504,82093,589
embedding,8,13,82093,83273,1180
block0,8,13,83273,86225,2952
block1,8,13,86225,88589,2364
patch_queue,8,14,82094,82683,589
embedding,8,14,82683,83863,1180
block0,8,14,83863,86815,2952
block1,8,14,86815,89179,2364
patch_queue,8,15,82684,83275,591
embedding,8,15,83275,84453,1178
block0,8,15,84453,87405,2952
block1,8,15,87405,89769,2364
head_hidden_first_token,8,0,80913,93062,12149
head_hidden_last_token,8,15,89769,93062,3293
head_output,8,0,93062,93804,742
serializer,8,0,93804,93862,58
patch_queue,9,0,83276,83865,589
embedding,9,0,83865,85043,1178
block0,9,0,85043,87997,2954
block1,9,0,87997,90361,2364
patch_queue,9,1,83866,84455,589
embedding,9,1,84455,85635,1180
block0,9,1,85635,88587,2952
block1,9,1,88587,90951,2364
patch_queue,9,2,84456,85045,589
embedding,9,2,85045,86225,1180
block0,9,2,86225,89177,2952
block1,9,2,89177,91541,2364
patch_queue,9,3,85046,85637,591
embedding,9,3,85637,86815,1178
block0,9,3,86815,89767,2952
block1,9,3,89767,92131,2364
patch_queue,9,4,85638,86227,589
embedding,9,4,86227,87405,1178
block0,9,4,87405,90359,2954
block1,9,4,90359,92723,2364
patch_queue,9,5,86228,86817,589
embedding,9,5,86817,87997,1180
block0,9,5,87997,90949,2952
block1,9,5,90949,93313,2364
patch_queue,9,6,86818,87407,589
embedding,9,6,87407,88587,1180
block0,9,6,88587,91539,2952
block1,9,6,91539,93903,2364
patch_queue,9,7,87408,87999,591
embedding,9,7,87999,89177,1178
block0,9,7,89177,92129,2952
block1,9,7,92129,94493,2364
patch_queue,9,8,88000,88589,589
embedding,9,8,88589,89767,1178
block0,9,8,89767,92721,2954
block1,9,8,92721,95085,2364
patch_queue,9,9,88590,89179,589
embedding,9,9,89179,90359,1180
block0,9,9,90359,93311,2952
block1,9,9,93311,95675,2364
patch_queue,9,10,89180,89769,589
embedding,9,10,89769,90949,1180
block0,9,10,90949,93901,2952
block1,9,10,93901,96265,2364
patch_queue,9,11,89770,90361,591
embedding,9,11,90361,91539,1178
block0,9,11,91539,94491,2952
block1,9,11,94491,96855,2364
patch_queue,9,12,90362,90951,589
embedding,9,12,90951,92129,1178
block0,9,12,92129,95083,2954
block1,9,12,95083,97447,2364
patch_queue,9,13,90952,91541,589
embedding,9,13,91541,92721,1180
block0,9,13,92721,95673,2952
block1,9,13,95673,98037,2364
patch_queue,9,14,91542,92131,589
embedding,9,14,92131,93311,1180
block0,9,14,93311,96263,2952
block1,9,14,96263,98627,2364
patch_queue,9,15,92132,92723,591
embedding,9,15,92723,93901,1178
block0,9,15,93901,96853,2952
block1,9,15,96853,99217,2364
head_hidden_first_token,9,0,90361,102510,12149
head_hidden_last_token,9,15,99217,102510,3293
head_output,9,0,102510,103252,742
serializer,9,0,103252,103310,58
patch_queue,10,0,92724,93313,589
embedding,10,0,93313,94491,1178
block0,10,0,94491,97445,2954
block1,10,0,97445,99809,2364
patch_queue,10,1,93314,93903,589
embedding,10,1,93903,95083,1180
block0,10,1,95083,98035,2952
block1,10,1,98035,100399,2364
patch_queue,10,2,93904,94493,589
embedding,10,2,94493,95673,1180
block0,10,2,95673,98625,2952
block1,10,2,98625,100989,2364
patch_queue,10,3,94494,95085,591
embedding,10,3,95085,96263,1178
block0,10,3,96263,99215,2952
block1,10,3,99215,101579,2364
patch_queue,10,4,95086,95675,589
embedding,10,4,95675,96853,1178
block0,10,4,96853,99807,2954
block1,10,4,99807,102171,2364
patch_queue,10,5,95676,96265,589
embedding,10,5,96265,97445,1180
block0,10,5,97445,100397,2952
block1,10,5,100397,102761,2364
patch_queue,10,6,96266,96855,589
embedding,10,6,96855,98035,1180
block0,10,6,98035,100987,2952
block1,10,6,100987,103351,2364
patch_queue,10,7,96856,97447,591
embedding,10,7,97447,98625,1178
block0,10,7,98625,101577,2952
block1,10,7,101577,103941,2364
patch_queue,10,8,97448,98037,589
embedding,10,8,98037,99215,1178
block0,10,8,99215,102169,2954
block1,10,8,102169,104533,2364
patch_queue,10,9,98038,98627,589
embedding,10,9,98627,99807,1180
block0,10,9,99807,102759,2952
block1,10,9,102759,105123,2364
patch_queue,10,10,98628,99217,589
embedding,10,10,99217,100397,1180
block0,10,10,100397,103349,2952
block1,10,10,103349,105713,2364
patch_queue,10,11,99218,99809,591
embedding,10,11,99809,100987,1178
block0,10,11,100987,103939,2952
block1,10,11,103939,106303,2364
patch_queue,10,12,99810,100399,589
embedding,10,12,100399,101577,1178
block0,10,12,101577,104531,2954
block1,10,12,104531,106895,2364
patch_queue,10,13,100400,100989,589
embedding,10,13,100989,102169,1180
block0,10,13,102169,105121,2952
block1,10,13,105121,107485,2364
patch_queue,10,14,100990,101579,589
embedding,10,14,101579,102759,1180
block0,10,14,102759,105711,2952
block1,10,14,105711,108075,2364
patch_queue,10,15,101580,102171,591
embedding,10,15,102171,103349,1178
block0,10,15,103349,106301,2952
block1,10,15,106301,108665,2364
head_hidden_first_token,10,0,99809,111958,12149
