---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 293 | train MSE 0.008102 m2 | val MAE 6.3363 cm | val RMSE 8.5969 cm | 8.37 s
Epoch 294 | train MSE 0.008108 m2 | val MAE 6.2909 cm | val RMSE 8.5804 cm | 8.39 s
Epoch 295 | train MSE 0.008116 m2 | val MAE 6.3123 cm | val RMSE 8.5775 cm | 8.11 s
Epoch 296 | train MSE 0.008101 m2 | val MAE 6.3216 cm | val RMSE 8.5941 cm | 8.66 s
Epoch 297 | train MSE 0.008101 m2 | val MAE 6.3111 cm | val RMSE 8.5731 cm | 8.46 s
Epoch 298 | train MSE 0.008116 m2 | val MAE 6.3130 cm | val RMSE 8.5752 cm | 8.19 s
Epoch 299 | train MSE 0.008077 m2 | val MAE 6.3201 cm | val RMSE 8.5839 cm | 8.62 s
Epoch 300 | train MSE 0.008078 m2 | val MAE 6.2960 cm | val RMSE 8.5719 cm | 8.46 s *
Epoch 301 | train MSE 0.008072 m2 | val MAE 6.3062 cm | val RMSE 8.5776 cm | 9.09 s
Epoch 302 | train MSE 0.008073 m2 | val MAE 6.2935 cm | val RMSE 8.5738 cm | 9.29 s
Epoch 303 | train MSE 0.008070 m2 | val MAE 6.3082 cm | val RMSE 8.5708 cm | 9.58 s *
Epoch 304 | train MSE 0.008071 m2 | val MAE 6.2915 cm | val RMSE 8.5661 cm | 9.44 s *
Epoch 305 | train MSE 0.008069 m2 | val MAE 6.2947 cm | val RMSE 8.5649 cm | 8.92 s *
Epoch 306 | train MSE 0.008068 m2 | val MAE 6.3032 cm | val RMSE 8.5682 cm | 9.20 s
Epoch 307 | train MSE 0.008085 m2 | val MAE 6.3134 cm | val RMSE 8.5733 cm | 8.28 s
Epoch 308 | train MSE 0.008068 m2 | val MAE 6.2861 cm | val RMSE 8.5651 cm | 8.42 s
Epoch 309 | train MSE 0.008065 m2 | val MAE 6.3006 cm | val RMSE 8.5740 cm | 8.57 s
Epoch 310 | train MSE 0.008069 m2 | val MAE 6.3027 cm | val RMSE 8.5672 cm | 8.63 s
Epoch 311 | train MSE 0.008062 m2 | val MAE 6.2895 cm | val RMSE 8.5611 cm | 8.76 s *
Epoch 312 | train MSE 0.008059 m2 | val MAE 6.2939 cm | val RMSE 8.5578 cm | 8.40 s *
Epoch 313 | train MSE 0.008064 m2 | val MAE 6.3005 cm | val RMSE 8.5613 cm | 9.01 s
Epoch 314 | train MSE 0.008060 m2 | val MAE 6.2911 cm | val RMSE 8.5602 cm | 9.01 s
Epoch 315 | train MSE 0.008065 m2 | val MAE 6.2919 cm | val RMSE 8.5550 cm | 9.26 s *
Epoch 316 | train MSE 0.008062 m2 | val MAE 6.3075 cm | val RMSE 8.5677 cm | 9.57 s
Epoch 317 | train MSE 0.008073 m2 | val MAE 6.3026 cm | val RMSE 8.5634 cm | 8.94 s
Epoch 318 | train MSE 0.008056 m2 | val MAE 6.2917 cm | val RMSE 8.5704 cm | 9.01 s
---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 319 | train MSE 0.008050 m2 | val MAE 6.2854 cm | val RMSE 8.5551 cm | 9.56 s
Epoch 320 | train MSE 0.008059 m2 | val MAE 6.2846 cm | val RMSE 8.5555 cm | 9.24 s
Epoch 321 | train MSE 0.008053 m2 | val MAE 6.2974 cm | val RMSE 8.5610 cm | 9.41 s
Epoch 322 | train MSE 0.008052 m2 | val MAE 6.2771 cm | val RMSE 8.5517 cm | 9.44 s *
Epoch 323 | train MSE 0.008046 m2 | val MAE 6.2880 cm | val RMSE 8.5550 cm | 9.79 s
Epoch 324 | train MSE 0.008048 m2 | val MAE 6.3018 cm | val RMSE 8.5663 cm | 9.68 s
Epoch 325 | train MSE 0.008051 m2 | val MAE 6.2857 cm | val RMSE 8.5646 cm | 9.97 s
Epoch 326 | train MSE 0.008051 m2 | val MAE 6.2985 cm | val RMSE 8.5657 cm | 9.12 s
Epoch 327 | train MSE 0.008049 m2 | val MAE 6.2962 cm | val RMSE 8.5628 cm | 9.07 s
Epoch 328 | train MSE 0.008041 m2 | val MAE 6.3287 cm | val RMSE 8.5869 cm | 9.78 s
Epoch 329 | train MSE 0.008069 m2 | val MAE 6.3010 cm | val RMSE 8.5628 cm | 8.58 s
Epoch 330 | train MSE 0.008043 m2 | val MAE 6.2832 cm | val RMSE 8.5559 cm | 8.97 s
Epoch 331 | train MSE 0.008036 m2 | val MAE 6.2936 cm | val RMSE 8.5542 cm | 9.06 s
Epoch 332 | train MSE 0.008033 m2 | val MAE 6.2805 cm | val RMSE 8.5500 cm | 9.33 s *
Epoch 333 | train MSE 0.008033 m2 | val MAE 6.2812 cm | val RMSE 8.5525 cm | 8.77 s
Epoch 334 | train MSE 0.008029 m2 | val MAE 6.2803 cm | val RMSE 8.5498 cm | 9.22 s *
Epoch 335 | train MSE 0.008031 m2 | val MAE 6.2839 cm | val RMSE 8.5536 cm | 9.27 s
Epoch 336 | train MSE 0.008028 m2 | val MAE 6.2805 cm | val RMSE 8.5489 cm | 9.01 s *
Epoch 337 | train MSE 0.008027 m2 | val MAE 6.2900 cm | val RMSE 8.5514 cm | 9.48 s
Epoch 338 | train MSE 0.008027 m2 | val MAE 6.2818 cm | val RMSE 8.5491 cm | 9.23 s
Epoch 339 | train MSE 0.008028 m2 | val MAE 6.2724 cm | val RMSE 8.5503 cm | 8.99 s
Epoch 340 | train MSE 0.008027 m2 | val MAE 6.2823 cm | val RMSE 8.5497 cm | 9.32 s
Epoch 341 | train MSE 0.008027 m2 | val MAE 6.2735 cm | val RMSE 8.5494 cm | 9.21 s
Epoch 342 | train MSE 0.008025 m2 | val MAE 6.2895 cm | val RMSE 8.5536 cm | 8.63 s
Epoch 343 | train MSE 0.008024 m2 | val MAE 6.2735 cm | val RMSE 8.5487 cm | 9.82 s *
Epoch 344 | train MSE 0.008027 m2 | val MAE 6.2764 cm | val RMSE 8.5469 cm | 9.29 s *
Epoch 345 | train MSE 0.008023 m2 | val MAE 6.2876 cm | val RMSE 8.5518 cm | 9.19 s
Epoch 346 | train MSE 0.008023 m2 | val MAE 6.2764 cm | val RMSE 8.5465 cm | 8.81 s *
Epoch 347 | train MSE 0.008022 m2 | val MAE 6.2765 cm | val RMSE 8.5480 cm | 9.60 s
Epoch 348 | train MSE 0.008019 m2 | val MAE 6.2906 cm | val RMSE 8.5544 cm | 11.78 s
Epoch 349 | train MSE 0.008035 m2 | val MAE 6.2792 cm | val RMSE 8.5490 cm | 10.66 s
Epoch 350 | train MSE 0.008022 m2 | val MAE 6.2835 cm | val RMSE 8.5488 cm | 10.30 s
