event,ordinal,token,cycle,group,item
restart,128,0,81581,3,-1
add,128,0,81582,3,-1
group,128,0,81582,4,-1
chunk,128,0,81583,4,0
round,128,0,81583,3,-1
collect,128,0,81584,3,-1
read,128,0,81584,4,0
dispatch,128,0,81585,4,0
read,128,0,81585,4,1
dispatch,128,0,81586,4,1
read,128,0,81586,4,2
dispatch,128,0,81587,4,2
read,128,0,81587,4,3
dispatch,128,0,81588,4,3
read,128,0,81588,4,4
response,128,0,81588,4,0
dispatch,128,0,81589,4,4
multiply,128,0,81589,4,0
read,128,0,81589,4,5
response,128,0,81589,4,1
combine,128,0,81590,4,0
dispatch,128,0,81590,4,5
multiply,128,0,81590,4,1
read,128,0,81590,4,6
response,128,0,81590,4,2
accumulate,128,0,81591,4,0
combine,128,0,81591,4,1
dispatch,128,0,81591,4,6
multiply,128,0,81591,4,2
read,128,0,81591,4,7
response,128,0,81591,4,3
accumulate,128,0,81592,4,1
combine,128,0,81592,4,2
dispatch,128,0,81592,4,7
multiply,128,0,81592,4,3
read,128,0,81592,4,8
response,128,0,81592,4,4
accumulate,128,0,81593,4,2
combine,128,0,81593,4,3
dispatch,128,0,81593,4,8
multiply,128,0,81593,4,4
read,128,0,81593,4,9
response,128,0,81593,4,5
accumulate,128,0,81594,4,3
combine,128,0,81594,4,4
dispatch,128,0,81594,4,9
multiply,128,0,81594,4,5
read,128,0,81594,4,10
response,128,0,81594,4,6
accumulate,128,0,81595,4,4
combine,128,0,81595,4,5
dispatch,128,0,81595,4,10
multiply,128,0,81595,4,6
read,128,0,81595,4,11
response,128,0,81595,4,7
accumulate,128,0,81596,4,5
combine,128,0,81596,4,6
dispatch,128,0,81596,4,11
multiply,128,0,81596,4,7
read,128,0,81596,4,12
response,128,0,81596,4,8
accumulate,128,0,81597,4,6
combine,128,0,81597,4,7
dispatch,128,0,81597,4,12
multiply,128,0,81597,4,8
read,128,0,81597,4,13
response,128,0,81597,4,9
accumulate,128,0,81598,4,7
combine,128,0,81598,4,8
dispatch,128,0,81598,4,13
multiply,128,0,81598,4,9
read,128,0,81598,4,14
response,128,0,81598,4,10
accumulate,128,0,81599,4,8
combine,128,0,81599,4,9
dispatch,128,0,81599,4,14
multiply,128,0,81599,4,10
read,128,0,81599,4,15
response,128,0,81599,4,11
accumulate,128,0,81600,4,9
chunk,128,0,81600,4,1
combine,128,0,81600,4,10
dispatch,128,0,81600,4,15
multiply,128,0,81600,4,11
response,128,0,81600,4,12
accumulate,128,0,81601,4,10
combine,128,0,81601,4,11
multiply,128,0,81601,4,12
read,128,0,81601,4,16
response,128,0,81601,4,13
accumulate,128,0,81602,4,11
combine,128,0,81602,4,12
dispatch,128,0,81602,4,16
multiply,128,0,81602,4,13
read,128,0,81602,4,17
response,128,0,81602,4,14
accumulate,128,0,81603,4,12
combine,128,0,81603,4,13
dispatch,128,0,81603,4,17
multiply,128,0,81603,4,14
read,128,0,81603,4,18
response,128,0,81603,4,15
accumulate,128,0,81604,4,13
combine,128,0,81604,4,14
dispatch,128,0,81604,4,18
multiply,128,0,81604,4,15
read,128,0,81604,4,19
accumulate,128,0,81605,4,14
combine,128,0,81605,4,15
dispatch,128,0,81605,4,19
response,128,0,81605,4,16
accumulate,128,0,81606,4,15
multiply,128,0,81606,4,16
response,128,0,81606,4,17
combine,128,0,81607,4,16
multiply,128,0,81607,4,17
response,128,0,81607,4,18
accumulate,128,0,81608,4,16
combine,128,0,81608,4,17
multiply,128,0,81608,4,18
response,128,0,81608,4,19
accumulate,128,0,81609,4,17
combine,128,0,81609,4,18
multiply,128,0,81609,4,19
accumulate,128,0,81610,4,18
combine,128,0,81610,4,19
last,128,0,81611,4,19
bias,128,0,81612,4,-1
restart,128,0,81612,4,-1
add,128,0,81613,4,-1
group,128,0,81613,5,-1
chunk,128,0,81614,5,0
round,128,0,81614,4,-1
collect,128,0,81615,4,-1
read,128,0,81615,5,0
dispatch,128,0,81616,5,0
read,128,0,81616,5,1
dispatch,128,0,81617,5,1
read,128,0,81617,5,2
dispatch,128,0,81618,5,2
read,128,0,81618,5,3
dispatch,128,0,81619,5,3
read,128,0,81619,5,4
response,128,0,81619,5,0
dispatch,128,0,81620,5,4
multiply,128,0,81620,5,0
read,128,0,81620,5,5
response,128,0,81620,5,1
combine,128,0,81621,5,0
dispatch,128,0,81621,5,5
multiply,128,0,81621,5,1
read,128,0,81621,5,6
response,128,0,81621,5,2
accumulate,128,0,81622,5,0
combine,128,0,81622,5,1
dispatch,128,0,81622,5,6
multiply,128,0,81622,5,2
read,128,0,81622,5,7
response,128,0,81622,5,3
accumulate,128,0,81623,5,1
combine,128,0,81623,5,2
dispatch,128,0,81623,5,7
multiply,128,0,81623,5,3
read,128,0,81623,5,8
response,128,0,81623,5,4
accumulate,128,0,81624,5,2
combine,128,0,81624,5,3
dispatch,128,0,81624,5,8
multiply,128,0,81624,5,4
read,128,0,81624,5,9
response,128,0,81624,5,5
accumulate,128,0,81625,5,3
combine,128,0,81625,5,4
dispatch,128,0,81625,5,9
multiply,128,0,81625,5,5
read,128,0,81625,5,10
response,128,0,81625,5,6
accumulate,128,0,81626,5,4
combine,128,0,81626,5,5
dispatch,128,0,81626,5,10
multiply,128,0,81626,5,6
read,128,0,81626,5,11
response,128,0,81626,5,7
accumulate,128,0,81627,5,5
combine,128,0,81627,5,6
dispatch,128,0,81627,5,11
multiply,128,0,81627,5,7
read,128,0,81627,5,12
response,128,0,81627,5,8
accumulate,128,0,81628,5,6
combine,128,0,81628,5,7
dispatch,128,0,81628,5,12
multiply,128,0,81628,5,8
read,128,0,81628,5,13
response,128,0,81628,5,9
accumulate,128,0,81629,5,7
combine,128,0,81629,5,8
dispatch,128,0,81629,5,13
multiply,128,0,81629,5,9
read,128,0,81629,5,14
response,128,0,81629,5,10
accumulate,128,0,81630,5,8
combine,128,0,81630,5,9
dispatch,128,0,81630,5,14
multiply,128,0,81630,5,10
read,128,0,81630,5,15
response,128,0,81630,5,11
accumulate,128,0,81631,5,9
chunk,128,0,81631,5,1
combine,128,0,81631,5,10
dispatch,128,0,81631,5,15
multiply,128,0,81631,5,11
response,128,0,81631,5,12
accumulate,128,0,81632,5,10
combine,128,0,81632,5,11
multiply,128,0,81632,5,12
read,128,0,81632,5,16
response,128,0,81632,5,13
accumulate,128,0,81633,5,11
combine,128,0,81633,5,12
dispatch,128,0,81633,5,16
multiply,128,0,81633,5,13
read,128,0,81633,5,17
response,128,0,81633,5,14
accumulate,128,0,81634,5,12
combine,128,0,81634,5,13
dispatch,128,0,81634,5,17
multiply,128,0,81634,5,14
read,128,0,81634,5,18
response,128,0,81634,5,15
accumulate,128,0,81635,5,13
combine,128,0,81635,5,14
dispatch,128,0,81635,5,18
multiply,128,0,81635,5,15
read,128,0,81635,5,19
accumulate,128,0,81636,5,14
combine,128,0,81636,5,15
dispatch,128,0,81636,5,19
response,128,0,81636,5,16
accumulate,128,0,81637,5,15
multiply,128,0,81637,5,16
response,128,0,81637,5,17
combine,128,0,81638,5,16
multiply,128,0,81638,5,17
response,128,0,81638,5,18
accumulate,128,0,81639,5,16
combine,128,0,81639,5,17
multiply,128,0,81639,5,18
response,128,0,81639,5,19
accumulate,128,0,81640,5,17
combine,128,0,81640,5,18
multiply,128,0,81640,5,19
accumulate,128,0,81641,5,18
combine,128,0,81641,5,19
last,128,0,81642,5,19
bias,128,0,81643,5,-1
restart,128,0,81643,5,-1
add,128,0,81644,5,-1
group,128,0,81644,6,-1
chunk,128,0,81645,6,0
round,128,0,81645,5,-1
collect,128,0,81646,5,-1
read,128,0,81646,6,0
dispatch,128,0,81647,6,0
read,128,0,81647,6,1
dispatch,128,0,81648,6,1
read,128,0,81648,6,2
dispatch,128,0,81649,6,2
read,128,0,81649,6,3
dispatch,128,0,81650,6,3
read,128,0,81650,6,4
response,128,0,81650,6,0
dispatch,128,0,81651,6,4
multiply,128,0,81651,6,0
read,128,0,81651,6,5
response,128,0,81651,6,1
combine,128,0,81652,6,0
dispatch,128,0,81652,6,5
multiply,128,0,81652,6,1
read,128,0,81652,6,6
response,128,0,81652,6,2
accumulate,128,0,81653,6,0
combine,128,0,81653,6,1
dispatch,128,0,81653,6,6
multiply,128,0,81653,6,2
read,128,0,81653,6,7
response,128,0,81653,6,3
accumulate,128,0,81654,6,1
combine,128,0,81654,6,2
dispatch,128,0,81654,6,7
multiply,128,0,81654,6,3
read,128,0,81654,6,8
response,128,0,81654,6,4
accumulate,128,0,81655,6,2
combine,128,0,81655,6,3
dispatch,128,0,81655,6,8
multiply,128,0,81655,6,4
read,128,0,81655,6,9
response,128,0,81655,6,5
accumulate,128,0,81656,6,3
combine,128,0,81656,6,4
dispatch,128,0,81656,6,9
multiply,128,0,81656,6,5
read,128,0,81656,6,10
response,128,0,81656,6,6
accumulate,128,0,81657,6,4
combine,128,0,81657,6,5
dispatch,128,0,81657,6,10
multiply,128,0,81657,6,6
read,128,0,81657,6,11
response,128,0,81657,6,7
accumulate,128,0,81658,6,5
combine,128,0,81658,6,6
dispatch,128,0,81658,6,11
multiply,128,0,81658,6,7
read,128,0,81658,6,12
response,128,0,81658,6,8
accumulate,128,0,81659,6,6
combine,128,0,81659,6,7
dispatch,128,0,81659,6,12
multiply,128,0,81659,6,8
read,128,0,81659,6,13
