epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
123,0.007522087548807948,6.128975359521616,8.353910558545016,0.0005,6.180957470000067
124,0.007500872471436597,6.105062443285313,8.332944141935547,0.0005,6.538601018999998
125,0.007489850871227164,6.126226427107329,8.404807314710249,0.0005,6.538710758999969
126,0.0075374079766729486,6.144512521225894,8.358983286523564,0.0005,6.629078279999931
127,0.0074777346347256425,6.092581939904531,8.305199397784543,0.0005,6.619019058999811
128,0.007501221576732354,6.086147921064886,8.376578067076792,0.0005,6.679506599999968
129,0.007423789305433657,6.194532245880235,8.398159956030206,0.0005,6.5625670920001085
130,0.007474948463935632,6.085113484950903,8.284390091391167,0.0005,6.666564031999997
131,0.007427606555496795,6.138619030996953,8.342814525872987,0.0005,6.640170656999999
132,0.007439563959588669,6.137781046565995,8.387792249458128,0.0005,6.651831333000018
133,0.007485473355134259,6.348848070930498,8.574466469429183,0.0005,6.777668405999975
134,0.007511410032565636,6.211762754227109,8.441764004115404,0.0005,6.6101178070000515
135,0.007441911422493902,6.172984769244263,8.463086896474076,0.0005,6.8181429090000165
136,0.007827619347945172,6.268400156913912,8.486327317567179,0.0005,5.830719599000076
137,0.007554902254418746,6.053264781722458,8.257402088983694,0.0005,6.482102979000047
138,0.007382712290025328,6.2736927096873005,8.512498029824767,0.0005,6.577772241000048
139,0.007622759941701262,6.099508509813057,8.33981669904494,0.0005,6.5444481430001815
140,0.007364974065399656,6.082488894952188,8.283814758717014,0.0005,6.489649752000105
141,0.007329287695223452,6.021056091197452,8.227218078223963,0.0005,6.503885206999939
142,0.007318240725103669,6.4740815608131115,8.665721908543544,0.0005,6.622818273999883
143,0.007394356430847739,6.14376144207294,8.364601463197387,0.0005,6.527703555000016
144,0.007331537650733242,6.059435949769534,8.291948338759079,0.0005,6.687424971000155
145,0.007298579688740373,6.190461591760619,8.526051579411503,0.0005,6.775827392999872
146,0.007465980631158995,6.371123017461919,8.568744904409455,0.0005,6.540067603000125
147,0.007391196713871622,6.1463062826462505,8.33624405873084,0.0005,6.540613635999989
148,0.007297623650243849,6.286100347385113,8.426699109696939,0.0005,6.2937709280001854
149,0.007790996107021804,6.361515410302673,8.53636985517846,0.0005,6.685740487999965
150,0.007351936718210148,5.983305098187699,8.181352544065524,0.0005,6.530472596999971
