---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 125 | train MSE 0.009151 m2 | val MAE 6.7335 cm | val RMSE 9.0814 cm | 6.41 s
Epoch 126 | train MSE 0.009178 m2 | val MAE 6.7698 cm | val RMSE 9.0843 cm | 5.99 s
Epoch 127 | train MSE 0.009113 m2 | val MAE 6.6546 cm | val RMSE 9.0606 cm | 6.33 s *
Epoch 128 | train MSE 0.009144 m2 | val MAE 6.7182 cm | val RMSE 9.0547 cm | 6.03 s *
Epoch 129 | train MSE 0.009101 m2 | val MAE 6.6769 cm | val RMSE 9.0399 cm | 6.18 s *
Epoch 130 | train MSE 0.009051 m2 | val MAE 6.8807 cm | val RMSE 9.2207 cm | 6.42 s
Epoch 131 | train MSE 0.009072 m2 | val MAE 6.9855 cm | val RMSE 9.3148 cm | 6.41 s
Epoch 132 | train MSE 0.009293 m2 | val MAE 6.6631 cm | val RMSE 9.0327 cm | 6.12 s *
Epoch 133 | train MSE 0.009041 m2 | val MAE 6.7846 cm | val RMSE 9.1016 cm | 6.57 s
Epoch 134 | train MSE 0.009021 m2 | val MAE 6.6381 cm | val RMSE 9.0018 cm | 6.13 s *
Epoch 135 | train MSE 0.009015 m2 | val MAE 6.6383 cm | val RMSE 9.0078 cm | 6.25 s
Epoch 136 | train MSE 0.008978 m2 | val MAE 6.6036 cm | val RMSE 9.0017 cm | 6.19 s *
Epoch 137 | train MSE 0.008992 m2 | val MAE 7.0072 cm | val RMSE 9.2890 cm | 6.12 s
Epoch 138 | train MSE 0.009036 m2 | val MAE 6.6368 cm | val RMSE 9.0019 cm | 6.22 s
Epoch 139 | train MSE 0.008950 m2 | val MAE 6.6664 cm | val RMSE 9.0533 cm | 6.02 s
Epoch 140 | train MSE 0.009048 m2 | val MAE 6.6613 cm | val RMSE 8.9937 cm | 6.23 s *
Epoch 141 | train MSE 0.008921 m2 | val MAE 6.6348 cm | val RMSE 8.9793 cm | 6.29 s *
Epoch 142 | train MSE 0.008906 m2 | val MAE 6.6409 cm | val RMSE 8.9732 cm | 6.53 s *
Epoch 143 | train MSE 0.008906 m2 | val MAE 6.6216 cm | val RMSE 8.9487 cm | 6.39 s *
Epoch 144 | train MSE 0.008880 m2 | val MAE 6.5947 cm | val RMSE 8.9535 cm | 5.68 s
Epoch 145 | train MSE 0.008884 m2 | val MAE 6.8891 cm | val RMSE 9.1824 cm | 6.01 s
Epoch 146 | train MSE 0.009002 m2 | val MAE 6.6579 cm | val RMSE 9.0253 cm | 6.34 s
Epoch 147 | train MSE 0.008881 m2 | val MAE 6.6471 cm | val RMSE 8.9593 cm | 6.28 s
Epoch 148 | train MSE 0.008832 m2 | val MAE 6.6065 cm | val RMSE 8.9315 cm | 6.34 s *
Epoch 149 | train MSE 0.008835 m2 | val MAE 6.7270 cm | val RMSE 9.0140 cm | 6.25 s
Epoch 150 | train MSE 0.008856 m2 | val MAE 6.6031 cm | val RMSE 8.9515 cm | 5.99 s
[STEP 3] Best checkpoint saved: sw/results/mars_seed20260917/best.pt, validation RMSE 8.9315 cm
